"","EN[1]","EN[2]","EN[3]","EN[4]","EN[5]","N[1]","N[2]","N[3]","N[4]","N[5]","beta[1, 1, 1]","beta[2, 1, 1]","beta[3, 1, 1]","beta[1, 2, 1]","beta[2, 2, 1]","beta[3, 2, 1]","beta[1, 1, 2]","beta[2, 1, 2]","beta[3, 1, 2]","beta[1, 2, 2]","beta[2, 2, 2]","beta[3, 2, 2]","beta[1, 1, 3]","beta[2, 1, 3]","beta[3, 1, 3]","beta[1, 2, 3]","beta[2, 2, 3]","beta[3, 2, 3]","beta[1, 1, 4]","beta[2, 1, 4]","beta[3, 1, 4]","beta[1, 2, 4]","beta[2, 2, 4]","beta[3, 2, 4]","beta[1, 1, 5]","beta[2, 1, 5]","beta[3, 1, 5]","beta[1, 2, 5]","beta[2, 2, 5]","beta[3, 2, 5]","p[1]","p[2]","p[3]","p[4]","p[5]"
"13",1542.18465451769,1037.06690207721,1207.02049561749,1075.37221332711,1118.26094567207,1479,1015,1191,1069,1090,0.139277566902146,0.925888418017434,-0.515985140310995,-0.503894009522136,0.78675861628072,0,0.0292969773698269,0.80187110533628,-0.0890287971682954,-0.596707019518996,1.12869454483241,0,-0.0629686154274778,0.89598917734824,-0.261080392186776,-0.36562997884896,0.6128885440305,0,0.140979373413991,0.834773423231876,-0.459002506524412,-0.537294647218076,0.806905448906205,0,0.167413067921188,0.794951643450346,-0.577627195172507,-0.575838064248974,0.857792922986745,0,0.915891460203437,0.980787513261137,0.87363210158901,0.83604609434887,0.925907809478757
"14",1426.71354049929,1002.64392456621,1209.84888155973,990.226259784975,911.569156354362,1497,924,1209,941,907,0.0833232044308751,0.912902300853911,-0.466498761619724,-0.52214857626511,0.7360566822323,0,0.0449962798745052,0.909457312665605,-0.0428570645222751,-0.648911687495608,1.20089183915059,0,-0.050206865426785,0.91301694330307,-0.323223583081699,-0.356499648855939,0.587035096118903,0,0.225397918072044,0.939349506116203,-0.523219648234886,-0.603135004808076,0.757049286870331,0,0.15490804302199,0.932470720961301,-0.492951218548272,-0.718967045533179,0.719466044762767,0,0.915891460203437,0.980991453146266,0.857897621910477,0.85329885924061,0.925054211102599
"15",1428.02582979584,931.034537959469,1146.92716252463,1004.58941771057,900.105648794252,1423,892,1166,969,898,0.0450678904169758,0.973223582448274,-0.480507419855075,-0.52214857626511,0.736866000558975,0,0.0760032737841912,0.906628142695717,-0.0568680576110517,-0.660142263383649,0.94153249542048,0,-0.021493745102199,0.98546451198318,-0.383986289773336,-0.410881458051419,0.590803429407066,0,0.147941788241874,0.943144367995151,-0.517085176695043,-0.610094459124852,0.820484327750147,0,0.128570668012362,0.962209533494211,-0.505276511058643,-0.752754364016126,0.76946463297833,0,0.915891460203437,0.988035916110748,0.829892692518692,0.877385629770958,0.896500704643854
"16",1489.7403171664,893.887622959619,1266.9903400427,1123.70683141554,933.436912801498,1482,864,1251,1030,967,0.0892952916433403,0.936326579144396,-0.490839202592924,-0.479839707123996,0.736866000558975,0,0.0997594334540951,0.906628142695717,-0.149263207452466,-0.740072950715631,1.10781073270457,0,0.0339273368196566,0.98546451198318,-0.445604529817107,-0.297604570091418,0.535372883985727,0,0.142857893006104,0.841356115916257,-0.52827751371684,-0.502165554216612,0.832196804140056,0,0.128570668012362,0.930689919258073,-0.448395499900063,-0.690639366143613,0.708147313717569,0,0.913548924992949,0.994349927359672,0.729248954037941,0.877385629770958,0.858207176811616
"17",1505.72293336662,856.245213684961,1183.34953838557,989.260144376547,919.603648500956,1453,894,1164,972,856,0.0835743439682499,1.07229809545236,-0.483328099463466,-0.415680260122758,0.688162804513894,0,0.0286682420447751,0.869898097168311,0.0286702624016887,-0.771733160855522,1.06135181852881,0,0.163968921487941,1.04092312387302,-0.577123695351989,-0.357071662772631,0.496647805757423,0,0.170884215514096,0.868637458178262,-0.566195580482106,-0.602449630317082,0.75189817848206,0,0.144707099585173,0.939226861746608,-0.456690922815528,-0.682039321851667,0.648001845791552,0,0.92291576436857,0.998487536474052,0.675999918164522,0.82277594717953,0.845765629116005
"18",1397.63336482768,860.379589963633,1179.8142526185,1033.69579266617,882.130221293643,1378,899,1140,1021,888,0.103438109944441,1.02873825872459,-0.44655209355296,-0.469359946484441,0.668224255743687,0,0.0562480461864089,0.8200054635449,0.0249528220420696,-0.747531990150689,0.978959229793878,0,0.114128241744145,0.974292627583438,-0.381373492878241,-0.361566477585453,0.50343887786166,0,0.240959333832619,0.883036760829668,-0.626855433317434,-0.568208325053976,0.781497565351136,0,0.146061732777571,0.955786586366345,-0.417344333622058,-0.707713607548145,0.604463854344414,0,0.92291576436857,0.997482830044836,0.675999918164522,0.816254225793192,0.855773470175207
"19",1366.09931699689,875.39040871103,1193.34263365817,1028.47499715382,867.445928754522,1374,853,1165,1045,853,0.0641413476878969,1.02873825872459,-0.44655209355296,-0.523315948710743,0.697833135452485,0,0.0700780377784289,0.90779381230658,-0.0235974233140289,-0.732968855297914,0.990841675171846,0,0.13918593937613,0.960619231548755,-0.393731016941071,-0.350165185354697,0.50343887786166,0,0.191814266024297,0.905942614079486,-0.52892689239686,-0.581058182822354,0.804501735229504,0,0.167637582553467,1.04499909647301,-0.489640377840324,-0.722400837620473,0.598525254992916,0,0.919910673265507,0.999397188810762,0.624076504261835,0.82713858711795,0.855394850194656
"20",1310.56218971058,915.349564210083,1234.75246187798,998.374092625918,940.855687118641,1299,918,1278,990,945,0.0823602018511926,1.04262582102946,-0.447895503173716,-0.542560632424662,0.676802091102487,0,0.0829158798285113,0.850640233982547,-0.134928698319234,-0.696228700804262,1.0246640678225,0,0.144892912310916,0.93439617809095,-0.475073514702935,-0.326381379774647,0.54795611148779,0,0.154507126086862,0.959255243989104,-0.558100941410271,-0.621740632803047,0.835897210822309,0,0.158571772306141,1.04499909647301,-0.652980236298799,-0.641164250900244,0.598525254992916,0,0.938665192140467,0.999432554895381,0.624076504261835,0.843996755713003,0.893431010071607
"21",1225.38921839454,894.668334825491,1270.27516918548,959.056598514589,904.056607829579,1238,909,1264,968,912,0.126396870735803,1.04481452372926,-0.455586919521945,-0.616355752468185,0.683105376875169,0,0.0640200299030651,0.907012751108471,-0.201267184594371,-0.71908165652938,1.0246640678225,0,0.156771959917523,0.913280125449652,-0.369831587540347,-0.326381379774647,0.655667633478895,0,0.215969860653946,0.859577022662585,-0.606345685616196,-0.689385697751088,0.909890477489291,0,0.2256515013464,0.969643652883032,-0.619037499558295,-0.731097654225079,0.728796166331784,0,0.943781564074122,0.999025654695846,0.602251258690331,0.884396494324876,0.832309268083
"22",1209.96239029277,1021.24510087032,1142.16323635515,961.808807009351,984.010157927085,1238,964,1179,951,960,0.110038872327659,1.0916974236646,-0.456611830074727,-0.652305012907765,0.704883459098467,0,0.113423345333008,0.813003348448827,-0.315329639272577,-0.64187247416887,1.2440150324489,0,0.201568186980048,1.02728884240182,-0.588976756597088,-0.421431243037058,0.615014287358104,0,0.207209298410457,0.874111330089689,-0.558803081644,-0.669105890507908,0.863683269938723,0,0.14904036144582,0.966902179030626,-0.505654970810117,-0.649303178228852,0.735869390670567,0,0.940530927656129,0.997726116326584,0.606186073854715,0.868194857371187,0.763521422463319
"23",1273.67989424877,984.519063872235,1196.91849166061,965.86500291506,1007.84462125597,1264,973,1139,905,987,0.067278126095903,0.987425382473918,-0.464141118640354,-0.622575559510317,0.724481796587987,0,0.113423345333008,0.751004825086666,-0.183384054578761,-0.642035616329998,1.10189320284541,0,0.193520117962844,0.88606970460961,-0.484342733862547,-0.376328258369135,0.621395801169576,0,0.206364958068617,0.831940678461009,-0.520820981203526,-0.688251040643416,0.925145568836146,0,0.18616560595469,0.921485811930072,-0.447154697647918,-0.619207654151291,0.721027760621377,0,0.97863955500491,0.978146381078899,0.606186073854715,0.889660308727048,0.765154265237651
"24",1290.08543754493,972.975145876425,1083.00125264128,1004.44912781571,928.352954243771,1251,944,1050,1053,997,0.143626019025154,0.931803662363701,-0.424527195793775,-0.603141642345283,0.718516868654827,0,0.126650694700817,0.768153239403316,-0.306612478339095,-0.637009122302869,1.0324131734898,0,0.276281988661833,0.833068019051123,-0.419107218481897,-0.480002536425941,0.634751737626377,0,0.213353591369566,0.709008496255145,-0.508905343092044,-0.646515313763611,0.918586331746669,0,0.200033374031519,0.917647077067727,-0.515582945710539,-0.652540745289119,0.592816409520475,0,0.940207920857063,0.969299676549968,0.606186073854715,0.833184892678381,0.713201402895695
"25",1249.84605558812,997.308432903087,1092.59493152451,996.828018117476,1080.86540629489,1299,1014,1146,982,1069,0.146923945669862,0.930269937833121,-0.448583663938197,-0.597145546675358,0.683629719691245,0,0.075733660798694,0.850150180151996,-0.36583807596513,-0.579814185110003,0.888754644982107,0,0.205976006173212,0.826836494215677,-0.433120111947708,-0.50371308255635,0.743742526429034,0,0.232254462496074,0.754218202915633,-0.574165080370266,-0.660818744383324,0.935593294262419,0,0.200033374031519,0.961681095459387,-0.515582945710539,-0.500435443017661,0.592816409520475,0,0.935399276757827,0.987692545301289,0.616291913085385,0.863372613884159,0.739045299302308
"26",1325.31719180692,1066.01098553892,1151.99586999661,902.07664394197,1080.01222792828,1335,1049,1119,897,1057,0.116771485154002,1.03087947995906,-0.465819080571292,-0.559207070730959,0.703007063037721,0,0.075733660798694,0.720751187369072,-0.189843666204201,-0.551685928271136,1.05751343637861,0,0.196571719202377,0.826836494215677,-0.463790417964977,-0.470287896298831,0.802644683718606,0,0.219739645039501,0.81786337200434,-0.561256035229008,-0.735837646180754,0.870773094677754,0,0.262409258772703,1.00483260692537,-0.619957757009623,-0.501225102179687,0.592816409520475,0,0.9154913471018,0.985542169393596,0.694527283668868,0.925268328158691,0.718608720882796
"27",1374.77836882434,1087.45014931692,1090.46651413457,937.947746815251,1094.03060918124,1431,1041,1066,909,1103,0.0399233587551335,1.02318863466363,-0.462622659853207,-0.528295604541207,0.708275715474943,0,0.0813663476939532,0.700702970197685,-0.168390330540745,-0.573344072476224,1.22239909455011,0,0.166747175315618,0.918244375938455,-0.504218911793944,-0.519652450463493,0.78636893007948,0,0.2214915636976,0.760705594268367,-0.495686223229692,-0.740957347081613,0.982999945599923,0,0.220341788191497,0.981990135349569,-0.597214829413909,-0.51710262124798,0.670879612662919,0,0.927529647831722,0.985542169393596,0.691140303197317,0.936764097756724,0.651292248175172
"28",1413.62042955877,1122.80948550205,1018.20557364678,879.06374153138,994.338840142387,1398,1116,1029,900,1046,0.0148533330148205,1.04247077274968,-0.450057193216415,-0.512375968109973,0.719130428874686,0,0.0789382950423348,0.637206914988762,-0.317107137555804,-0.581820166986153,1.37110735769243,0,0.173903308039148,0.89628874701121,-0.398992763065834,-0.582453975044259,0.769068858875704,0,0.205075095360493,0.685202248509208,-0.546226994468345,-0.852233876094613,1.08932695365214,0,0.194736653123426,1.04903731316925,-0.49251975192286,-0.618763871018367,0.686497257324336,0,0.927543571336848,0.990454203599909,0.691101032550515,0.969872156005176,0.532294947512553
