"site","cid","burn","east","north","ucid","dist","het3","het6","het8","tpi","slope","elev","max.ht","avg.ht","n","shrubs_n","gt25_n"
"NorthHam",167,1,626652.891769198,4760255.11827538,105167,42.7200187226908,6.00172519683838,0.0614188723266125,0.000479262176668271,-0.127338036894798,1.66931366920471,917.141662597656,0.2218017578125,0.0115833505988121,0,0,0
"NorthHam",411,1,626647.891769198,4760220.11827538,105411,11.1803398849999,735.481384277344,1.89837527275085,0.0138473315164447,0.0505514293909073,2.08275747299194,917.999145507812,1.3431396484375,0.309749066829681,0,0,0
"NorthHam",261,1,626597.891769198,4760240.11827538,105261,22.3606797727071,191.055648803711,0.493694394826889,0.00310230650939047,-0.0929687693715096,2.01665019989014,918.265625,1.005615234375,0.0739927813410759,0,0,0
"NorthHam",390,1,626542.891769199,4760220.11827538,105390,11.1803398881758,7.91507768630981,0.148971751332283,0.0010934688616544,0.023250674828887,1.68011403083801,918.219787597656,0.36700439453125,0.0253784749656916,0,0,0
"NorthHam",74,1,626537.8917692,4760265.11827538,10574,55.9016994356726,185.638046264648,0.621980249881744,0.00383917614817619,0.113103985786438,2.10759210586548,918.951782226562,0.8941650390625,0.110412627458572,0,0,0
"NorthHam",200,1,626642.891769198,4760250.11827538,105200,35.3553390563639,19.9499073028564,0.247737318277359,0.00162702018860728,0.0316176526248455,1.26599216461182,917.509155273438,0.591552734375,0.0495922453701496,0,0,0
"NorthHam",30,1,626667.891769198,4760275.11827538,10530,67.0820393228591,473.688049316406,1.0987583398819,0.00765431625768542,0.138317167758942,1.2870306968689,919.142578125,1.17352294921875,0.170479416847229,0,0,0
"NorthHam",84,1,626587.891769199,4760265.11827538,10584,44.9999999990687,895.752990722656,1.38068354129791,0.0123730544000864,-0.0616807416081429,1.60585045814514,918.655029296875,1.725830078125,0.126297757029533,0,0,0
"NorthHam",81,1,626572.891769199,4760265.11827538,10581,45,144.268966674805,0.250628590583801,0.00148481701035053,-0.0269665997475386,1.50191140174866,917.51025390625,0.97015380859375,0.0345188267529011,0,0,0
"NorthHam",126,1,626622.891769198,4760260.11827538,105126,40.311288739529,6.1316442489624,0.0956146344542503,0.000758741807658225,0.0203397758305073,2.05570578575134,917.151245117188,0.2393798828125,0.0145954014733434,1,1,1
"NorthHam",523,1,626682.891769198,4760205.11827538,105523,14.1421356229901,391.375854492188,1.89410901069641,0.015276568941772,0.0485634729266167,2.2584080696106,918.167358398438,1.0465087890625,0.155987128615379,1,1,1
"NorthHam",330,1,626592.891769199,4760230.11827538,105330,11.1803398871866,289.372436523438,1.70403957366943,0.0137808453291655,0.017451660707593,0.200145348906517,918.892761230469,1.357177734375,0.279654443264008,0,0,0
"NorthHam",450,1,626672.891769198,4760215.11827538,105450,15.8113883016886,128.5634765625,0.526150584220886,0.00323788751848042,0.0807124450802803,1.8902587890625,918.9013671875,0.68084716796875,0.0769378989934921,1,1,1
"NorthHam",44,1,626562.891769199,4760270.11827538,10544,50.9901951364986,16.5349826812744,0.235775247216225,0.00132833537645638,0.00984013359993696,0.712596654891968,918.0966796875,0.661376953125,0.0573382638394833,1,1,1
"NorthHam",457,1,626527.891769199,4760210.11827538,105457,14.1421356223315,24.6199893951416,0.255599141120911,0.0015637434553355,0.00177684612572193,0.80744194984436,918.015563964844,0.6427001953125,0.0735929608345032,0,0,0
"NorthHam",182,1,626552.891769198,4760250.11827538,105182,36.0555127554148,97.5354690551758,0.476715981960297,0.00309573928825557,-0.0693745762109756,1.01058375835419,917.915283203125,0.9132080078125,0.104830123484135,0,0,0
"NorthHam",192,1,626602.891769198,4760250.11827538,105192,33.5410196623407,523.486267089844,1.14523410797119,0.00870449841022491,0.0533018372952938,2.68047380447388,916.683715820312,1.359619140625,0.287644803524017,0,0,0
"NorthHam",60,1,626642.891769199,4760270.11827538,10560,55.2268050840708,306.568786621094,0.943446934223175,0.0074757756665349,0.0577854327857494,1.92826855182648,918.840515136719,1.121337890625,0.188603013753891,2,2,2
"NorthHam",269,1,626637.891769198,4760240.11827538,105269,24.999999997206,413.345916748047,1.18543934822083,0.00751099456101656,0.0883859694004059,1.5761102437973,918.604187011719,1.02178955078125,0.132801324129105,0,0,0
"NorthHam",105,1,626692.891769198,4760265.11827538,105105,69.6419413858788,78.1937789916992,0.269709318876266,0.00192731781862676,-0.0153456423431635,3.44830393791199,915.901245117188,0.82940673828125,0.0450390912592411,1,1,1
"NorthHam",258,1,626582.891769199,4760240.11827538,105258,20.6155281278624,593.241333007812,1.75839960575104,0.0139475772157311,0.0172192845493555,3.17674374580383,916.495056152344,1.4945068359375,0.24738609790802,0,0,0
"NorthHam",309,1,626662.891769198,4760235.11827538,105309,32.0156211836553,38.9868965148926,0.202630773186684,0.001614372828044,0.0213624332100153,2.63613986968994,916.973693847656,0.33056640625,0.0577212609350681,0,0,0
"NorthHam",67,1,626677.891769199,4760270.11827538,10567,68.0073525408699,236.91064453125,1.02574682235718,0.00951906107366085,0.0106939366087317,0.572482943534851,918.435546875,1.275146484375,0.13292732834816,0,0,0
"NorthHam",383,1,626682.891769198,4760225.11827538,105383,29.1547594751449,4.40151929855347,0.132280603051186,0.000921591185033321,0.0117459455505013,0.944004714488983,917.895629882812,0.353271484375,0.0304259993135929,0,0,0
"NorthHam",149,1,626562.891769199,4760255.11827538,105149,36.4005494469143,6.06097364425659,0.188649207353592,0.00133012852165848,0.00951330456882715,2.15273070335388,917.982727050781,0.5301513671875,0.0366642102599144,2,2,2
"NorthHam",134,1,626662.891769199,4760260.11827538,105134,51.4781507012828,471.923309326172,1.67398142814636,0.0130811911076307,0.0377737134695053,1.04271376132965,918.399841308594,1.3653564453125,0.272171407938004,0,0,0
"NorthHam",212,1,626527.891769198,4760245.11827538,105212,40.311288743341,560.836669921875,1.73681151866913,0.0146784437820315,0.00228686700575054,1.42012858390808,918.45068359375,1.35284423828125,0.331910490989685,0,0,0
"NorthHam",301,1,626622.891769198,4760235.11827538,105301,15.8113882985594,15.4277725219727,0.295483291149139,0.00200942624360323,0.0658623874187469,1.5925760269165,918.135498046875,0.734130859375,0.0583935938775539,0,0,0
"NorthHam",107,1,626527.891769198,4760260.11827538,105107,53.8516480705668,7.51686906814575,0.160839036107063,0.00107622868381441,-0.00855427701026201,0.506487250328064,918.182250976562,0.45074462890625,0.0255561489611864,0,0,0
